이름,진행 상태,날짜,작업 환경
보일러 플레이트 작성,완료,2024년 9월 12일,공통
정적 페이지 구현,완료,2024년 9월 13일,클라이언트
"이미지 업로드 구현 ",완료,2024년 9월 14일,클라이언트
이미지 OCR 시켜주기,완료,2024년 9월 16일,서버
OCR 텍스트 NLP 처리,완료,2024년 9월 17일,서버
딥 러닝 적용 및 알고리즘 카테고리 적용⭐️,완료,2024년 9월 18일,서버
"정답, 문제풀이 렌더링 시켜주기",완료,2024년 9월 23일,클라이언트
각각 독립된 페이지 연결 및 각종 기능 구현,완료,2024년 9월 24일,클라이언트
각각의 페이지 초기 데이터 불러오기 구현,완료,2024년 9월 25일,"서버, 클라이언트"
"복습 노트 추가,삭제 요청 처리",완료,2024년 9월 26일,서버
"답을 구할수 없거나, 시간초과시 오류처리",백로그,2024년 9월 29일,서버
전체 리팩토링,백로그,2024년 10월 1일,공통
에러 처리,백로그,2024년 10월 1일,클라이언트
로그인 기능 구현,완료,2024년 9월 18일,"서버, 클라이언트"
테스트 코드 작성,백로그,2024년 10월 4일,공통
앱 배포하기,백로그,2024년 9월 29일,공통
발표 준비,백로그,2024년 9월 30일,공통
README 작성하기,진행중,2024년 10월 3일,공통
타입스트립트 전환,백로그,2024년 10월 31일,공통
