이름,날짜,태그
1차 시연,2024년 9월 20일,
2차시연,2024년 9월 27일,
최종 시연(YouTube Live),2024년 10월 2일,
,2024년 10월 4일,
09/02 1차 아이디어 (16개),2024년 9월 2일,
09/03~04 2차 아이디어 (21개),2024년 9월 3일 → 2024년 9월 4일,
OCR 이란? (1),2024년 9월 5일,
여러가지 기존 AI 서비스 비교 (1),2024년 9월 5일,
코드로 수학문제를 풀어보쟈~!(project Euler) (1),2024년 9월 5일,
AI 모델 의 한계 와 개선 방안 (1),2024년 9월 5일,
파이썬 도전기,2024년 9월 6일 → 2024년 9월 19일,
모바일 기술 스택(클라이언트),2024년 9월 6일 → 2024년 9월 7일,
OCR (수학 기호 인식가능),2024년 9월 6일,
모바일 웹 vs 모바일 웹 앱 vs 모바일 앱,2024년 9월 6일,
React Native expo vs CLI,2024년 9월 7일,
서버측 기술 스택,2024년 9월 8일 → 2024년 9월 8일,
Django vs Flask (1),2024년 9월 8일,
서비스 전체적인 과정 (1),2024년 9월 8일,
도형 인식 기술 스택,2024년 9월 9일,
"TensorFlow, PyTorch 란? (1)",2024년 9월 9일,
POC (1),2024년 9월 5일 → 2024년 9월 6일,
"NLP, NLG",2024년 9월 10일,
딥러닝 (AI),2024년 9월 12일,
서비스 전체적인 과정,2024년 9월 11일,
방향 개선 (9/11),2024년 9월 11일,
React Native 도전기,2024년 9월 13일 → 2024년 9월 16일,
데이터베이스,2024년 9월 16일,
API 통신,2024년 9월 16일,
OCR 과정에서 한글 + 수식 인식,2024년 9월 17일,
자연어 처리,2024년 9월 19일,
머신 러닝이란 ?,2024년 9월 18일,
딥러닝 모델,2024년 9월 22일,
FastAPI 데이터베이스 도전기,2024년 9월 25일 → 2024년 9월 26일,
